State,FIPS Code,Population
California,6000,"39,029,342"
Texas,48000,"30,029,572"
Florida,12000,"22,244,823"
New York,36000,"19,677,151"
Pennsylvania,42000,"12,972,008"
Illinois,17000,"12,582,032"
Ohio,39000,"11,756,058"
Georgia,13000,"10,912,876"
North Carolina,37000,"10,698,973"
Michigan,26000,"10,034,113"
New Jersey,34000,"9,261,699"
Virginia,51000,"8,683,619"
Washington,53000,"7,785,786"
Arizona,4000,"7,359,197"
Tennessee,47000,"7,051,339"
Massachusetts,25000,"6,981,974"
Indiana,18000,"6,833,037"
Missouri,29000,"6,177,957"
Maryland,24000,"6,164,660"
Wisconsin,55000,"5,892,539"
Colorado,8000,"5,839,926"
Minnesota,27000,"5,717,184"
South Carolina,45000,"5,282,634"
Alabama,1000,"5,074,296"
Louisiana,22000,"4,590,241"
Kentucky,21000,"4,512,310"
Oregon,41000,"4,240,137"
Oklahoma,40000,"4,019,800"
Connecticut,9000,"3,626,205"
Utah,49000,"3,380,800"
Iowa,19000,"3,200,517"
Nevada,32000,"3,177,772"
Arkansas,5000,"3,045,637"
Mississippi,28000,"2,940,057"
Kansas,20000,"2,937,150"
New Mexico,35000,"2,113,344"
Nebraska,31000,"1,967,923"
Idaho,16000,"1,939,033"
West Virginia,54000,"1,775,156"
Hawaii,15000,"1,440,196"
New Hampshire,33000,"1,395,231"
Maine,23000,"1,385,340"
Montana,30000,"1,122,867"
Rhode Island,44000,"1,093,734"
Delaware,10000,"1,018,396"
South Dakota,46000,"909,824"
North Dakota,38000,"779,261"
Alaska,2000,"733,583"
District of Columbia,11000,"671,803"
Vermont,50000,"647,064"
Wyoming,56000,"581,381"
