State,Average,Median
Alabama,"$44,930 ","$52,138 "
Alaska,"$59,290 ","$67,010 "
Arizona,"$50,930 ","$58,462 "
Arkansas,"$42,690 ","$48,882 "
California,"$61,290 ","$65,895 "
Colorado,"$57,690 ","$70,952 "
Connecticut,"$62,350 ","$72,497 "
Delaware,"$54,370 ","$65,072 "
District of Columbia,"$89,800 ","$74,266 "
Florida,"$47,750 ","$55,681 "
Georgia,"$49,620 ","$55,600 "
Hawaii,"$54,930 ","$54,942 "
Idaho,"$44,890 ","$61,456 "
Illinois,"$55,130 ","$54,785 "
Indiana,"$46,770 ","$54,155 "
Iowa,"$47,330 ","$55,069 "
Kansas,"$46,520 ","$51,978 "
Kentucky,"$44,020 ","$49,719 "
Louisiana,"$44,170 ","$57,955 "
Maine,"$48,470 ","$75,214 "
Maryland,"$60,230 ","$75,077 "
Massachusetts,"$65,680 ","$56,343 "
Michigan,"$50,780 ","$65,514 "
Minnesota,"$55,890 ","$47,446 "
Mississippi,"$40,090 ","$53,547 "
Missouri,"$47,820 ","$57,448 "
Montana,"$45,370 ","$53,892 "
Nebraska,"$48,250 ","$56,949 "
Nevada,"$47,210 ","$75,432 "
New Hampshire,"$53,950 ","$75,321 "
New Jersey,"$59,980 ","$49,757 "
New Mexico,"$47,040 ","$63,548 "
New York,"$63,970 ","$53,687 "
North Carolina,"$48,550 ","$58,318 "
North Dakota,"$50,430 ","$54,877 "
Ohio,"$49,430 ","$51,435 "
Oklahoma,"$45,620 ","$64,975 "
Oregon,"$53,890 ","$60,640 "
Pennsylvania,"$51,340 ","$67,541 "
Rhode Island,"$57,220 ","$54,821 "
South Carolina,"$44,380 ","$53,188 "
South Dakota,"$42,920 ","$55,441 "
Tennessee,"$45,650 ","$70,425 "
Texas,"$50,490 ","$58,728 "
Utah,"$49,420 ","$67,918 "
Vermont,"$51,120 ","$74,398 "
Virginia,"$56,740 ","$57,934 "
Washington,"$62,020 ","$60,510 "
West Virginia,"$43,420 ","$53,244 "
Wisconsin,"$48,850 ","$57,934 "
Wyoming,"$49,760 ","$60,510 "
