State,State_long,Year,Price_index,FIPS_Code,Population,Average_Salary,Median_Salary
AK,Alaska,2022,412.3,2000,733583,59290,67010
AL,Alabama,2022,461.86,1000,5074296,44930,52138
AR,Arkansas,2022,404.44,5000,3045637,42690,48882
AZ,Arizona,2022,682,4000,7359197,50930,58462
CA,California,2022,902.22,6000,39029342,61290,65895
CO,Colorado,2022,813.08,8000,5839926,57690,70952
CT,Connecticut,2022,552.35,9000,3626205,62350,72497
DC,District of Columbia,2022,1085.4,11000,671803,89800,74266
DE,Delaware,2022,636.82,10000,1018396,54370,65072
FL,Florida,2022,737.44,12000,22244823,47750,55681
GA,Georgia,2022,562.82,13000,10912876,49620,55600
HI,Hawaii,2022,861.73,15000,1440196,54930,54942
IA,Iowa,2022,388.38,19000,3200517,47330,55069
ID,Idaho,2022,750.64,16000,1939033,44890,61456
IL,Illinois,2022,441.39,17000,12582032,55130,54785
IN,Indiana,2022,435.38,18000,6833037,46770,54155
KS,Kansas,2022,396.16,20000,2937150,46520,51978
KY,Kentucky,2022,479.13,21000,4512310,44020,49719
LA,Louisiana,2022,356.6,22000,4590241,44170,57955
MA,Massachusetts,2022,1090.29,25000,6981974,65680,56343
MD,Maryland,2022,622.35,24000,6164660,60230,75077
ME,Maine,2022,832.85,23000,1385340,48470,75214
MI,Michigan,2022,469.28,26000,10034113,50780,65514
MN,Minnesota,2022,534.78,27000,5717184,55890,47446
MO,Missouri,2022,468.52,29000,6177957,47820,57448
MS,Mississippi,2022,365.76,28000,2940057,40090,53547
MT,Montana,2022,730.98,30000,1122867,45370,53892
NC,North Carolina,2022,591.3,37000,10698973,48550,58318
ND,North Dakota,2022,447.9,38000,779261,50430,54877
NE,Nebraska,2022,456.14,31000,1967923,48250,56949
NH,New Hampshire,2022,716.69,33000,1395231,53950,75321
NJ,New Jersey,2022,727.88,34000,9261699,59980,49757
NM,New Mexico,2022,469.75,35000,2113344,47040,63548
NV,Nevada,2022,593.9,32000,3177772,47210,75432
NY,New York,2022,926.97,36000,19677151,63970,53687
OH,Ohio,2022,415.9,39000,11756058,49430,51435
OK,Oklahoma,2022,340,40000,4019800,45620,64975
OR,Oregon,2022,804.32,41000,4240137,53890,60640
PA,Pennsylvania,2022,587.57,42000,12972008,51340,67541
RI,Rhode Island,2022,816.72,44000,1093734,57220,54821
SC,South Carolina,2022,584.46,45000,5282634,44380,53188
SD,South Dakota,2022,554.4,46000,909824,42920,55441
TN,Tennessee,2022,602.9,47000,7051339,45650,70425
TX,Texas,2022,489.66,48000,30029572,50490,58728
UT,Utah,2022,789.8,49000,3380800,49420,67918
VA,Virginia,2022,636.64,51000,8683619,56740,57934
VT,Vermont,2022,698.91,50000,647064,51120,74398
WA,Washington,2022,948.68,53000,7785786,62020,60510
WI,Wisconsin,2022,495.15,55000,5892539,48850,57934
WV,West Virginia,2022,297.26,54000,1775156,43420,53244
WY,Wyoming,2022,440.4,56000,581381,49760,60510
